,DATE (YYYY/MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11),Cloud Type,Solar Zenith Angle,Snow Depth [cm]
0,22-02-2020,04:11,-1.12724,-0.365968,77.6676,8.21,0.388,-12.412,19.2,1.2,300.1,817.297,0,0,0,0,50.16,9.46
1,25-07-2020,20:10,-1.0403,0.093816,304.73416,20.14,14.855,11.955,59.29,4.45,262.4,820.184,5.334,0,0,7,57.39,1.121
2,13-09-2020,04:03,-1.29707,-0.25182,68.24852,14.08,6.56,-0.94,35.17,2.45,280.2,822.653,0,0,0,8,65.63,-0.05
3,08-03-2020,15:25,79.2002,-0.014836,237.11811,15.03,5.725,-4.575,24.36,3.7,23.07,809.641,0,0,0.1587,6,57.08,0.734
4,17-11-2020,19:33,-1.61485,-0.459201,271.20406,12.66,3.18,-10.22,17.37,2.7,283.8,818.717,0,0,0,0,128.59,0.013
5,03-01-2020,10:05,382.731,801.357,150.3047,4.769,-1.244,-11.644,26.09,3.7,241.7,816.524,0,0,0.2246,0,85.34,0.272
6,17-10-2020,03:47,-1.60765,-0.128379,77.75313,13.72,4.568,-6.532,22.41,3.45,293.4,812.909,0,0,0,0,157.6,-0.076
7,20-05-2020,18:50,36.6184,244.802,293.79446,21.45,8.121,-6.259,14.09,9.45,272.9,807.832,0,0,0.1321,0,120.27,0.794
8,25-04-2020,15:45,598.043,932.926,258.75004,17.22,6.201,-6.599,17.8,5.7,299.9,818.935,0,0,0.2014,6,76.42,1.315
9,08-12-2020,06:17,-1.57862,-0.493768,111.43873,6.855,-1.27,-19.37,11.01,2.95,284.3,823.922,0,0,0,0,135.88,0.142
10,10-04-2020,21:39,-1.05637,-0.217587,317.38518,13.14,4.554,-5.446,25.56,9.7,267.7,809.108,0,0,0,1,77.13,0.839
11,23-08-2020,17:51,67.8006,13.3414,276.61491,28.99,14.757,5.357,22.34,1.7,14.25,818.714,0,0,0.209,1,125.29,-0.176
12,07-08-2020,05:44,78.4991,488.886,73.9772,19.44,7.716,-4.684,18.26,3.45,292,817.234,0,0,0.3873,1,10.32,-0.209
13,10-01-2020,13:57,432.356,766.814,207.50121,-0.426,-4.175,-11.275,39.26,1.95,125.2,815.828,0,0,0.2361,1,88.26,0.527
14,25-02-2020,14:45,353.514,75.8252,224.33692,-4.83,-7.462,-13.662,45.78,7.2,25.91,824.884,0,0,0.2386,1,104.3,4.525
15,26-02-2020,17:33,13.3616,-0.286838,256.89594,2.745,-2.233,-10.933,32.08,6.45,277.1,819.741,0,0,0.1057,0,87.58,2.94
16,01-07-2020,21:41,-1.6518,0.004938,325.17253,22.62,10.402,-0.398,21.53,2.7,188.2,817.343,0,0,0,3,74.3,0.66
17,06-05-2020,07:58,579.961,853.275,95.91182,10.35,4.68,-1.32,43.56,2.95,107,823.982,0,0,0.2114,0,87.24,0.813
18,22-10-2020,06:49,5.46764,0.325886,108.95244,0.473,0.407,0.307,98.8,1.45,18.24,811.465,0,0,0.2793,0,75.25,-0.108
19,17-09-2020,17:29,51.6375,84.7698,267.22066,24.52,10.226,-3.464,14.86,0.95,37.65,822.174,0,0,0.1539,0,149.55,-0.199
20,28-04-2020,09:12,806.016,994.761,112.93794,19.09,6.859,-7.241,14.97,3.45,295.8,817.573,0,0,0.1861,0,63.45,0.986
21,20-04-2020,20:01,-1.04465,-0.356098,299.43743,11.35,4.565,-2.935,35.6,1.7,27.96,816.363,0,0,0,0,127.53,1.072
22,28-05-2020,15:18,712.973,820.096,262.11131,20.2,13.729,9.829,51.28,1.2,69.32,823.258,0,0,0.1819,3,57.54,1.294
23,05-10-2020,23:39,-1.72188,-0.301193,355.71893,13.06,4.575,-5.525,25.52,1.95,275.3,822.731,0,0,0,0,138.74,-0.334
24,29-10-2020,04:36,-1.3268,0.06419,89.95807,2.145,-0.252,-3.152,65.87,0,0,820.636,0,0,0,4,127.09,0.177
25,05-09-2020,19:43,-1.92793,-0.049376,292.10956,28.33,12.214,-1.586,13.9,3.95,299.8,821.728,0,0,0,1,95.62,-0.311
26,27-01-2020,21:03,-0.716719,-0.024727,283.39728,3.639,-1.706,-10.706,30.73,6.2,300.6,815.924,0,0,0,0,35.86,0.407
27,21-05-2020,06:42,349.802,830.801,80.65798,12.07,4.804,-3.096,33.49,2.2,237.6,815.199,0,0,0.2372,0,152.67,0.622
28,16-05-2020,13:23,978.059,961.847,228.40604,19.02,10.303,3.403,35.44,1.7,162.6,816.531,0.508,0,0.1603,7,115.88,1.597
29,10-07-2020,11:19,1014.79,982.364,146.89599,32.74,14.47,0.77,13.03,2.95,123.4,820.162,0,0,0.1727,0,125.65,1.281
30,25-02-2020,01:53,-0.688772,0.212656,42.62836,-4.139,-7.223,-14.923,38.43,4.45,279.3,815.63,0,0,0,0,150.55,4.808
31,21-05-2020,09:51,919.779,1006.36,116.31255,17.36,7.096,-3.684,22.65,3.95,105.3,813.75,0,0,0.1708,7,88.4,1.211
32,02-08-2020,21:17,-1.32495,-0.197507,316.53156,20.78,12.284,6.484,39.41,3.45,299.5,821.645,0,0,0,0,158.51,-0.171
33,25-11-2020,23:38,-1.2918,0.118505,352.70578,3.064,-0.562,-5.262,51.56,0,0,812.168,0,0,0,7,126.5,6.904
34,29-05-2020,10:38,972.562,953.274,130.5604,24.09,16.598,12.798,49.27,3.45,37.94,821.534,0,0,0.1534,0,48.75,1.275
35,27-08-2020,01:11,-1.63999,-0.256755,21.68472,18.89,12.488,8.288,50.13,2.7,281.5,816.739,0,0,0,6,70.08,-0.21
36,27-10-2020,03:46,-1.08834,0.365391,80.94975,-6.924,-8.656,-13.056,57.95,2.2,248.5,817.955,0,0,0,0,14.98,8.57
37,26-02-2020,13:39,291.159,4.57951,207.05075,4.534,-1.15,-10.55,29.26,4.2,292.6,819.933,0,0,0.1825,0,146.8,4.139
38,02-01-2020,07:12,0.504227,-0.029673,118.08699,-0.049,-4.168,-12.068,35.43,3.2,284.7,805.793,0,0,0,0,151.88,0.382
39,20-05-2020,03:48,-1.24617,-0.083941,53.57885,17.58,10.563,5.363,44.51,0.95,142.2,811.119,0,0,0,0,46.76,0.817
40,24-11-2020,14:22,347.631,858.744,218.24673,2.551,-1.386,-6.986,46.08,1.45,288.2,813.169,10.41,0,0.796,8,22.79,11.11
41,07-12-2020,06:51,-0.645412,-0.054314,116.54464,4.672,-1.703,-13.903,21.39,3.95,278.2,825.624,0,0,0,4,95.54,0.182
42,15-09-2020,11:00,810.417,751.366,157.66147,28.75,11.881,-3.399,11.65,5.45,82.8,822.538,0,0,0.1874,8,80.79,0.008
43,08-10-2020,15:05,378.361,592.716,236.44393,26.93,9.988,-8.012,8.71,1.95,36.28,814.681,0,0,0.2368,7,46.95,0.164
44,26-07-2020,08:33,277.592,9.13477,97.89112,23.44,14.858,9.858,42.16,2.7,25.31,821.798,0,0,0.155,6,42.94,1.074
45,17-06-2020,02:53,-1.27019,-0.14813,40.29525,16.68,9.377,3.377,40.99,1.45,253.2,812.656,0,0,0,0,152.61,0.767
46,11-05-2020,04:01,-0.692397,-0.237388,57.32327,0.955,-0.41,-2.01,78.97,2.7,25.96,818.723,0,0,0,0,57.85,0.913
47,17-08-2020,19:13,-1.6957,-0.212316,290.92551,27.4,13.711,4.011,22.3,2.95,31.98,823.668,0,0,0,0,111.5,-0.34
48,24-02-2020,15:01,512.706,968.375,227.7948,0.423,-3.913,-12.613,32.57,7.45,293.6,813.027,0,0,0.2691,0,85.7,4.882
49,09-04-2020,08:19,534.782,895.822,106.996,6.822,3.361,-0.439,59.52,4.45,28.59,819.972,0,0,0.2031,0,11.77,0.827
50,20-12-2020,10:04,145.499,4.30569,151.80116,6.899,0.054,-10.746,24.4,0.95,143.5,814.292,0,0,0.3115,3,32.62,0.279
51,28-12-2020,18:42,-1.08693,-0.607336,257.37536,-3.57,-3.72,-3.82,97.9,0,0,812.834,0,1,0,0,84.71,0.924
52,22-08-2020,16:03,404.736,446.075,259.14259,33.35,13.869,-2.031,10.06,3.7,75.28,817.897,0,0,0.2346,0,138.16,0.068
53,19-06-2020,20:33,-1.14352,-0.103691,312.44847,12.81,11.017,9.817,82,2.2,19.04,819.197,0.508,0,0,2,51.22,1.128
54,17-12-2020,05:23,-1.25268,0.098754,103.51905,2.955,-2.772,-13.972,23.99,5.45,258,813.74,0,0,0,7,56.5,0.227
55,14-04-2020,04:25,-0.689275,0.593508,66.84779,-9.55,-10.92,-14.62,63.22,2.95,285.7,818.028,0,0,0,7,157.94,4.917
56,28-11-2020,00:41,-1.30447,0,35.11038,1.892,-3.183,-12.983,28.33,3.95,279.4,819.293,0,0,0,6,102.16,5.756
57,13-09-2020,21:51,-1.38341,-0.192567,318.62563,18.31,8.085,-2.085,24.41,3.7,283.7,824.517,0,0,0,4,114.77,-0.045
58,12-06-2020,12:56,1002.89,968.67,219.36248,29.75,13.483,0.713,15.38,3.7,117.1,823.574,0,0,0.1623,6,80.18,1.464
59,07-01-2020,23:58,-0.872358,-0.227493,353.00587,4.755,-1.278,-11.378,26.75,3.7,275.1,815.625,0,0,0,8,59.88,0.462
60,13-06-2020,18:42,17.4839,-0.054314,294.31046,22.66,13.154,6.854,36.04,0,0,815.004,0,0,0.1355,7,109.44,0.917
61,30-05-2020,07:59,582.784,836.583,90.80754,23.96,14.339,8.359,36.93,2.2,119.5,821.65,0,0,0.1862,0,121,0.871
62,22-01-2020,03:59,-0.940474,0.014837,84.87999,4.731,0.098,-6.102,42.65,2.95,280.4,810.53,0,0,0,7,127.39,0.442
63,08-06-2020,16:35,195.795,0.819649,275.75573,22.12,11.017,2.217,26.91,3.7,15.69,806.695,0,0,0.1781,0,67.66,0.921
64,11-12-2020,15:15,52.5577,0.301202,226.16445,-5.502,-6.079,-7.179,86.5,1.7,22.86,812.078,0,1,0.6791,7,83.78,2.675
65,27-05-2020,00:13,-1.17888,-0.197507,4.00643,16.88,9.497,3.407,40.56,1.95,287.1,817.479,0,0,0,4,154.09,0.994
66,19-03-2020,16:08,122.797,0.395639,249.64146,-1.35,-1.35,-1.35,100,3.7,359,816.894,13.72,1,0.9109,0,130.98,10.06
67,06-09-2020,21:11,-2.00131,-0.197505,309.73587,26.69,10.792,-4.408,12.06,4.7,278,818.61,0,0,0,4,105.19,-0.213
68,21-01-2020,22:46,-0.820124,0,310.93636,4.918,0.611,-4.789,47.12,0.95,298.6,810.169,0,0,0,0,17.65,0.464
69,24-01-2020,05:34,-0.983059,-0.0544,99.2928,3.819,-1.034,-8.234,37.77,7.2,274.5,815.748,0,0,0,0,14.83,0.506
70,31-01-2020,16:46,54.3085,30.4593,242.64574,7.18,-0.37,-13.97,17.87,5.7,281.1,818.668,0.254,0,0.2134,0,164.37,0.491
71,23-01-2020,14:40,147.562,8.59525,217.4878,3.631,-1.499,-9.899,33.04,1.45,121.4,816.862,0,0,0.2057,0,125.06,0.389
72,02-01-2020,08:40,40.2445,9.65362,133.00371,0.603,-3.808,-12.208,33.35,0.95,262.1,807.281,0,0,0.1374,1,58.13,0.256
73,28-01-2020,01:05,-0.836072,-0.123637,31.12477,1.401,-3.386,-12.686,30.15,3.7,297.4,817.246,0,0,0,8,109.11,0.366
74,22-08-2020,08:01,369.545,363.796,100.25032,27.3,11.549,-2.521,13.65,2.95,269.7,818.854,0,0,0.2434,6,84.09,-0.214
75,11-09-2020,08:10,455.167,797.06,109.33529,11.64,7.753,4.553,61.73,3.2,23.98,818.97,0,0,0.2072,7,30.43,-0.27
76,20-11-2020,02:02,-1.39103,-0.182694,65.56002,3.076,-0.286,-4.586,54.58,0,0,823.919,0,0,0,3,23.28,0.148
77,14-09-2020,13:13,810.422,956.185,210.34546,29.34,12.097,-3.483,11.18,4.2,58.45,823.585,0,0,0.1864,6,137.58,0.112
78,24-11-2020,11:13,203.933,0.987544,170.74871,-1.31,-2.433,-3.833,80.9,2.2,276.2,813.757,2.286,0.1,1.1226,0,41.33,12.55
79,18-06-2020,01:47,-1.23104,-0.246883,26.02763,13.75,7.29,1.19,42.33,1.7,101.1,818.067,0,0,0,2,27.14,0.423
80,25-06-2020,01:56,-1.5248,-0.197506,27.75809,21.31,11.082,3.002,29.9,3.45,264.4,815.078,0,0,0,0,56.51,0.883
81,02-11-2020,07:58,233.902,825.392,123.7951,15.53,4.432,-11.268,13.13,3.2,284.2,827.486,0,0,0.2624,0,66.9,-0.064
82,14-03-2020,07:52,63.5914,0.811055,108.6977,-1.568,-1.568,-1.568,100,1.2,101.9,816.832,0,0,0.1787,0,83.48,0.841
83,09-02-2020,21:20,-0.773925,0.296731,290.80954,-6.38,-7.434,-9.434,76.54,0.95,261.3,814.641,4.318,0,0,0,141.44,17.06
84,20-01-2020,14:10,453.724,605.588,210.52351,9.44,0.489,-16.111,12.57,1.2,74.54,823.071,0,0,0.2292,6,32.3,0.457
